title,authors,publisher,published_date,page_count,categories,average_rating,language
Poems of Fantasy,Walter Hull,Tidak diketahui,1916-01-01,74,Tidak diketahui,4.083333333333333,en
Medical Romance May 2025 Books 1-6,"Tina Beckett, JC Harroway, Luana DaRosa, Annie Claydon, Kristine Lynn, Amy Blythe",HarperCollins UK,1895-01-01,1041,Fiction,4.083333333333333,en
Modern Romance February 2025 Books 5-8: His Enemy's Italian Surrender / Royal Fiancée Required / Engaged in Deception / After-Hours Proposal,"Sharon Kendrick, Kali Anthony, Kim Lawrence, Trish Morey",HarperCollins UK,1895-01-01,693,Fiction,4.083333333333333,en
The Blithedale romance (1876),Nathaniel Hawthorne,Tidak diketahui,1876-01-01,300,Tidak diketahui,4.083333333333333,en
A Paradise of English Poetry: Romance,Henry Charles Beeching,Tidak diketahui,1893-01-01,396,English poetry,4.083333333333333,en
The Pirate: A Hostage Romance,Amelia Wilde,Amelia Wilde,1895-01-01,531,Fiction,4.083333333333333,en
A Riverside Romance,Mrs. Edward Kennard,Tidak diketahui,1898-01-01,328,Tidak diketahui,4.083333333333333,en
Romance Writing,Lynne Pearce,Polity,1895-01-01,228,Language Arts & Disciplines,4.083333333333333,en
A Romance of Two Worlds,Marie Corelli,Tidak diketahui,1896-01-01,414,Healing,4.083333333333333,en
Contarini Fleming: a romance. The rise of Iskander,Benjamin Disraeli,Tidak diketahui,1890-01-01,510,Tidak diketahui,4.083333333333333,en
"The Dolliver romance, and kindred tales",Nathaniel Hawthorne,Tidak diketahui,1900-01-01,494,Tidak diketahui,4.083333333333333,en
"Sister Martha, Or, A Romance of the Franco-Prussian War",Benjamin Wilson (Curate of Fordham.),Tidak diketahui,1871-01-01,358,Tidak diketahui,4.083333333333333,en
"The celebrated romance of The stealing of the mare, tr. from the Arab. [of Abû Zaid al-Hilâlî] by lady A. Blunt, done into verse by W.S. Blunt",Abû Zaid (al-Hilâlî.),Tidak diketahui,1892-01-01,148,Tidak diketahui,4.083333333333333,en
The Romance Languages,Rebecca Posner,Cambridge University Press,1895-01-01,404,Language Study,4.083333333333333,en
A Sherburne Romance,Amanda M. Douglas,Tidak diketahui,1895-01-01,424,Children's stories,4.083333333333333,en
Modern Romance January 2024 Books 1-4: The Baby His Secretary Carries (Bound by a Surrogate Baby) / The Italian's Pregnant Enemy / His Last-Minute Desert Queen / A Vow to Redeem the Greek,"Dani Collins, Maisey Yates, Annie West, Jackie Ashenden",HarperCollins UK,1895-01-01,695,Fiction,4.083333333333333,en
"Rum, Romance & Rebellion",Charles William Taussig,Tidak diketahui,1928-01-01,336,New England,4.083333333333333,en
Comparative Romance Linguistics Newsletter,Tidak diketahui,Tidak diketahui,2003-01-01,100,Contrastive linguistics,4.083333333333333,en
"The Romance of a Bookshop, 1904-1929",Gilbert Henry Fabes,Tidak diketahui,1929-01-01,90,Booksellers and bookselling,4.083333333333333,en
"The Marble Faun, Or The Romance of Monte Beni",Nathaniel Hawthorne,Tidak diketahui,1895-01-01,380,Tidak diketahui,4.083333333333333,en
North Carolina Studies in the Romance Languages and Literatures,Tidak diketahui,Tidak diketahui,1976-01-01,548,Romance philology,4.083333333333333,en
Mystery of Amazon,Windy Marthinda,Voila Publisher,1895-01-01,131,Young Adult Fiction,4.083333333333333,id
The Mystery Readers' Advisory,"John Charles, Joanna Morrison, Candace Clark",American Library Association,2002-01-01,244,Language Arts & Disciplines,4.083333333333333,en
The Excellent Mystery,Lord Pimlico,Tidak diketahui,1888-01-01,84,Marriage,4.083333333333333,en
The Mystery of Metropolisville,Edward Eggleston,Tidak diketahui,1873-01-01,332,Fiction,4.083333333333333,en
"The ""Mystery of History"", its Functionalisation and Disintegration in Graham Swift’s ""Waterland""",Thorben Höppner,GRIN Verlag,1895-01-01,20,Literary Criticism,4.083333333333333,en
"The Mystery of Growth, and Other Discourses",Edward White,Tidak diketahui,1877-01-01,400,Christian life,4.083333333333333,en
Art Show Mystery,Eleanor Robins,Saddleback Educational Publ,1895-01-01,52,Juvenile Fiction,4.083333333333333,en
The Mystery of the Temptation,William Henry Hutchings,Tidak diketahui,1875-01-01,320,Christian biography,4.083333333333333,en
"Star-flowers, a Poem of the Woman's Mystery",Thomas Lake Harris,Tidak diketahui,1886-01-01,132,Women,4.083333333333333,en
The Mystery of Mirbridge,James Payn,Tidak diketahui,1888-01-01,308,Tidak diketahui,4.083333333333333,en
The Mystery of Dudley Horne,Florence Warden,Tidak diketahui,1897-01-01,324,England,4.083333333333333,en
Case Closed #1: Mystery in the Mansion,Lauren Magaziner,HarperCollins,1895-01-01,466,Juvenile Fiction,5.0,en
The Gerrard Street Mystery,John Charles Dent,Rose,1888-01-01,212,Canadian fiction,4.083333333333333,en
The Mystery of Kingswood,A. F. Hopkinson,Tidak diketahui,1888-01-01,390,Tidak diketahui,4.083333333333333,en
Ellery Queen's The Four of Hearts Mystery,William Roos,Tidak diketahui,1949-01-01,100,Tidak diketahui,4.083333333333333,en
"Barnaby Rudge, Master Humphrey's clock, and The mystery of Edwin Drood",Charles Dickens,Tidak diketahui,1894-01-01,660,Tidak diketahui,4.083333333333333,en
An Illustrated Encyclopedia of Mysticism and the Mystery Religions,John Ferguson,Tidak diketahui,1977-01-01,238,"Mysteries, Religious",4.083333333333333,en
The Mystery Girl,Carolyn Wells,Tidak diketahui,1922-01-01,360,Detective and mystery stories,4.083333333333333,en
The Mystery of the 13th Floor,Lee Thayer,Tidak diketahui,1919-01-01,428,Tidak diketahui,4.083333333333333,en
Library of The World's Best MYSTERY AND DETECTIVE STORIES,JULIAN HAWTHORNE,Tidak diketahui,1908-01-01,320,Tidak diketahui,4.083333333333333,en
